Date,Closing_price
2021-03-29,363.79
2021-03-30,362.86
2021-03-31,364.3
2021-04-01,368.16
2021-04-05,373.47
2021-04-06,373.26
2021-04-07,373.73
2021-04-08,375.55
2021-04-09,378.25
2021-04-12,378.42
2021-04-13,379.45
2021-04-14,378.23
2021-04-15,382.29
2021-04-16,383.63
2021-04-19,381.74
2021-04-20,378.94
2021-04-21,382.5
2021-04-22,378.99
2021-04-23,383.03
2021-04-26,383.86
2021-04-27,383.74
2021-04-28,383.56
2021-04-29,386.12
2021-04-30,383.57
2021-05-03,384.44
2021-05-04,382.1
2021-05-05,382.17
2021-05-06,385.28
2021-05-07,388.03
2021-05-10,384.23
2021-05-11,380.86
2021-05-12,372.73
2021-05-13,377.16
2021-05-14,382.95
2021-05-17,382.03
2021-05-18,378.73
2021-05-19,377.73
2021-05-20,381.76
2021-05-21,381.47
2021-05-24,385.32
2021-05-25,384.51
2021-05-26,385.21
2021-05-27,385.38
2021-05-28,386.13
2021-06-01,385.83
2021-06-02,386.48
2021-06-03,385.01
2021-06-04,388.5
2021-06-07,388.17
2021-06-08,388.23
2021-06-09,387.62
2021-06-10,389.41
2021-06-11,390.09
2021-06-14,391.07
2021-06-15,390.25
2021-06-16,388.11
2021-06-17,387.97
2021-06-18,382.82
2021-06-21,388.18
2021-06-22,390.24
2021-06-23,389.82
2021-06-24,392.05
2021-06-25,393.5
2021-06-28,394.32
2021-06-29,393.16
2021-06-30,393.52
2021-07-01,395.74
2021-07-02,398.75
2021-07-06,398
2021-07-07,399.37
2021-07-08,396.19
2021-07-09,400.37
2021-07-12,401.82
2021-07-13,400.46
2021-07-14,401.01
2021-07-15,399.72
2021-07-16,396.61
2021-07-19,390.68
2021-07-20,396.2
2021-07-21,399.53
2021-07-22,400.38
2021-07-23,404.38
2021-07-26,405.41
2021-07-27,403.61
2021-07-28,403.39
2021-07-29,405.13
2021-07-30,403.15
2021-08-02,402.33
2021-08-03,405.58
2021-08-04,403.64
2021-08-05,406.16
2021-08-06,406.86
2021-08-09,406.47
2021-08-10,406.98
2021-08-11,407.96
2021-08-12,409.15
2021-08-13,409.96
2021-08-16,410.94
2021-08-17,408.23
2021-08-18,403.84
2021-08-19,404.41
2021-08-20,407.61
2021-08-23,411.22
2021-08-24,411.87
2021-08-25,412.63
2021-08-26,410.22
2021-08-27,413.86
2021-08-30,415.76
2021-08-31,415.05
2021-09-01,415.49
2021-09-02,416.73
2021-09-03,416.57
2021-09-07,415.03
2021-09-08,414.63
2021-09-09,412.77
2021-09-10,409.58
2021-09-13,410.54
2021-09-14,408.41
2021-09-15,411.82
2021-09-16,411.11
2021-09-17,407.08
2021-09-20,400.43
2021-09-21,400.04
2021-09-22,403.9
2021-09-23,408.78
2021-09-24,409.46
2021-09-27,408.3
2021-09-28,400.14
2021-09-29,399.46
2021-09-30,394.4
2021-10-01,399.12
2021-10-04,394.21
2021-10-05,398.04
2021-10-06,399.81
2021-10-07,403.25
2021-10-08,402.49
2021-10-11,399.56
2021-10-12,398.76
2021-10-13,400.04
2021-10-14,406.76
2021-10-15,409.93
2021-10-18,411.18
2021-10-19,414.38
2021-10-20,415.99
2021-10-21,417.01
2021-10-22,416.59
2021-10-25,418.75
2021-10-26,419.15
2021-10-27,417.33
2021-10-28,421.41
2021-10-29,422.16
2021-11-01,423.05
2021-11-02,424.69
2021-11-03,427.25
2021-11-04,429.25
2021-11-05,430.71
2021-11-08,431.23
2021-11-09,429.72
2021-11-10,426.26
2021-11-11,426.4
2021-11-12,429.57
2021-11-15,429.77
2021-11-16,431.41
2021-11-17,430.37
2021-11-18,431.86
2021-11-19,431.05
2021-11-22,429.91
2021-11-23,430.47
2021-11-24,431.53
2021-11-26,422.14
2021-11-29,427.24
2021-11-30,419.06
2021-12-01,414.24
2021-12-02,420.56
2021-12-03,416.84
2021-12-06,421.82
2021-12-07,430.49
2021-12-08,431.7
2021-12-09,428.76
2021-12-10,432.85
2021-12-13,429.01
2021-12-14,426.09
2021-12-15,432.75
2021-12-16,428.84
2021-12-17,424.39
2021-12-20,419.8
2021-12-21,425.69
2021-12-22,429.99
2021-12-23,432.64
2021-12-27,438.81
2021-12-28,438.48
2021-12-29,439.01
2021-12-30,437.77
2021-12-31,436.57
2022-01-03,439.25
2022-01-04,439.07
2022-01-05,430.66
2022-01-06,430.08
2022-01-07,428.59
2022-01-10,428.03
2022-01-11,431.78
2022-01-12,433.07
2022-01-13,427.1
2022-01-14,427.23
2022-01-18,419.74
2022-01-19,415.33
2022-01-20,410.76
2022-01-21,402.69
2022-01-24,404.37
2022-01-25,399.46
2022-01-26,398.56
2022-01-27,396.54
2022-01-28,406.26
2022-01-31,413.69
2022-02-01,416.39
2022-02-02,420.36
2022-02-03,410.59
2022-02-04,412.52
2022-02-07,411.16
2022-02-08,414.49
2022-02-09,420.57
2022-02-10,413.18
2022-02-11,404.94
2022-02-14,403.62
2022-02-15,410.1
2022-02-16,410.59
2022-02-17,401.86
2022-02-18,399.29
2022-02-22,394.92
2022-02-23,387.81
2022-02-24,393.77
2022-02-25,402.37
2022-02-28,401.36
2022-03-01,395.34
2022-03-02,402.6
2022-03-03,400.58
2022-03-04,397.34
2022-03-07,385.61
2022-03-08,382.7
2022-03-09,392.9
2022-03-10,391.15
2022-03-11,386.16
2022-03-14,383.34
2022-03-15,391.75
2022-03-16,400.51
2022-03-17,405.41
2022-03-18,409.89
2022-03-21,409.91
2022-03-22,414.67
2022-03-23,409.33
2022-03-24,414.02
2022-03-25,416.12
